id,name,rate,rate2010,earnings,num,population,,,
38003,Barnes,725,1073,163189,134,9180,,,
25001,Barnstable,110,163,4377404,135,221394,,,
45011,Barnwell,243,360,431340,136,33419,,,
21009,Barren,1913,2831,632088,137,61910,,,
55005,Barron,1338,1980,803746,138,59615,,,
13013,Barrow,346,512,473952,139,35553,,,
26015,Barry,734,1086,558008,140,34908,,,
29009,Barry,1428,2113,554340,141,50175,,,
18005,Bartholomew,535,792,1950712,142,61087,,,
20009,Barton,656,971,483813,143,27132,,,
29011,Barton,755,1117,185956,144,18121,,,
13015,Bartow,343,508,1321732,145,97096,,,
48021,Bastrop,1490,2205,436643,146,22917,,,
29013,Bates,1073,1588,154141,147,12685,,,
51017,Bath,102,151,82039,148,7599,,,
21011,Bath,717,1061,66974,149,2528,,,
5005,Baxter,400,592,500730,150,34030,,,
12005,Bay,52,77,2554075,151,113307,,,
26017,Bay,676,1000,1702993,152,103594,,,
55007,Bayfield,315,466,133288,153,13312,,,
48023,Baylor,244,361,39612,154,5327,,,
46005,Beadle,740,1095,306673,155,40030,,,
16007,Bear Lake,356,527,53430,156,4024,,,
45013,Beaufort,93,138,2797425,157,130608,,,
37013,Beaufort,380,562,612139,158,38679,,,
22011,Beauregard,663,981,338506,159,25678,,,
42007,Beaver,464,687,2482665,160,160848,,,
49001,Beaver,170,252,112876,161,11381,,,
40007,Beaver,611,904,60166,162,5123,,,
30001,Beaverhead,209,309,126087,163,14249,,,
27005,Becker,914,1353,454960,164,44228,,,
40009,Beckham,654,968,253952,165,21915,,,
51019,Bedford,1095,1621,677244,166,41886,,,
42009,Bedford,841,1245,637102,167,27627,,,
47003,Bedford,1157,1712,612828,168,74033,,,
51515,Bedford,0,0,0,169,863,,,
48025,Bee,579,857,295108,170,42768,,,
33001,Belknap,127,188,1158410,171,49565,,,
48027,Bell,1455,2153,5623535,172,298831,,,
21013,Bell,55,81,320137,173,30938,,,
39013,Belmont,562,832,784071,174,66980,,,
27007,Beltrami,587,869,649009,175,32300,,,
13017,Ben Hill,168,249,309955,176,30631,,,
16009,Benewah,164,243,141259,177,13769,,,
46007,Bennett,234,346,31788,178,6586,,,
50003,Bennington,124,184,769684,179,50769,,,
38005,Benson,568,841,71949,180,11746,,,
8011,Bent,222,329,64241,181,9439,,,
5007,Benton,2025,2997,3453431,182,132234,,,
53005,Benton,928,1373,3201055,183,163229,,,
41003,Benton,579,857,1768782,184,144988,,,
27009,Benton,786,1163,560645,185,34066,,,
19011,Benton,1113,1647,250844,186,13844,,,
47005,Benton,330,488,151894,187,10750,,,
29015,Benton,762,1128,122233,188,9443,,,
18007,Benton,400,592,97806,189,9810,,,
28009,Benton,183,271,46209,190,4364,,,
26019,Benzie,108,160,156781,191,26789,,,
34003,Bergen,83,123,32541306,192,888333,,,
45015,Berkeley,278,411,1507319,193,49575,,,
54003,Berkeley,408,604,1164967,194,64133,,,
42011,Berks,1358,2010,7630045,195,458557,,,
25003,Berkshire,271,401,2807132,196,51246,,,
35001,Bernalillo,441,653,14084066,197,441763,,,
26021,Berrien,1181,1748,2964323,198,191811,,,
13019,Berrien,397,588,171176,199,20884,,,
37015,Bertie,361,534,217083,200,13670,,,
2050,Bethel,0,0,228081,201,19452,,,
48029,Bexar,1666,2466,33645798,202,1414511,,,
13021,Bibb,114,169,3784455,203,158246,,,
1007,Bibb,158,234,143372,204,13319,,,
22013,Bienville,244,361,141159,205,8974,,,
56003,Big Horn,419,620,186381,206,17991,,,
30003,Big Horn,374,554,152656,207,8120,,,
27011,Big Stone,399,591,64724,208,6167,,,
38007,Billings,214,317,13171,209,821,,,
